英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
What is more,"さらに,その上",熟語,"He is intelligent, and what is more, he is kind.",彼は知的で、さらに、親切だ。,"The food was delicious, and what is more, it was cheap.",食べ物はおいしかったし、さらに、安かった。,"She is a good student, and what is more, she is a good athlete.",彼女は優秀な生徒であり、さらに、優れたアスリートだ。,"The car is fast, and what is more, it is fuel-efficient.",その車は速いし、さらに、燃費も良い。,,0,0
for some time,"しばらくの間,一時的に",熟語,I haven't seen him for some time.,彼にはしばらく会っていない。,She lived in London for some time.,彼女はしばらくの間ロンドンに住んでいた。,The store will be closed for some time.,その店はしばらくの間閉鎖されるだろう。,He has been working on this project for some time.,彼はしばらくの間このプロジェクトに取り組んでいる。,,0,0
at a time,"１度に,同時に",熟語,Please take one pill at a time.,一度に1錠ずつ服用してください。,You can only do one thing at a time.,一度にできることは一つだけだ。,He can eat two pizzas at a time.,彼は一度に2枚のピザを食べられる。,Let's discuss one issue at a time.,一度に一つの問題について話し合いましょう。,,0,0
parking lot,"駐車場,停車場",熟語,I parked my car in the parking lot.,駐車場に車を停めた。,The parking lot was full.,駐車場は満車だった。,We met in the parking lot.,私たちは駐車場で会った。,There is a large parking lot next to the supermarket.,スーパーマーケットの隣に大きな駐車場がある。,,0,0
all around the world,"世界中の,全世界の",熟語,People all around the world celebrate Christmas.,世界中の人々がクリスマスを祝う。,He has traveled all around the world.,彼は世界中を旅した。,News spread all around the world.,ニュースは世界中に広まった。,This product is sold all around the world.,この製品は世界中で販売されている。,,0,0
copyright,"著作権,版権",名詞,This book is protected by copyright.,この本は著作権で保護されている。,You need to obtain copyright permission to use this image.,この画像を使用するには著作権の許可を得る必要がある。,The copyright belongs to the author.,著作権は著者に帰属する。,Copyright infringement is a serious offense.,著作権侵害は重大な犯罪だ。,,0,0
charge,"非難,料金,管理/に請求する","名詞,動詞",There is no charge for admission.,入場料は無料です。,He was charged with theft.,彼は窃盗罪で起訴された。,Can I charge my phone here?,ここで携帯電話を充電できますか？,She is in charge of the project.,彼女がそのプロジェクトを担当している。,,0,0
director,"監督,指導者,役員",名詞,He is the director of the new movie.,彼は新しい映画の監督だ。,She is a board director of the company.,彼女は会社の取締役だ。,The director gave instructions to the actors.,監督は俳優たちに指示を出した。,He is the director of the research institute.,彼は研究所の所長だ。,,0,0
in reality,"実際に,現実に",熟語,"He seems confident, but in reality, he's very nervous.",彼は自信があるように見えるが、実際はとても緊張している。,"In reality, the situation is much more complicated.",実際には、状況ははるかに複雑だ。,"She pretends to be happy, but in reality, she's sad.",彼女は幸せなふりをしているが、実際は悲しい。,"What appears to be simple is, in reality, quite complex.",単純に見えるものが、実際にはかなり複雑だ。,,0,0
actually,"実際に,現実に",副詞,"I thought he was joking, but he was actually serious.",彼は冗談だと思ったが、実際は真剣だった。,What did you actually do?,あなたは実際に何をしたのですか？,She doesn't look her age; she's actually 40.,彼女は年齢に見えない。実際は40歳だ。,"He said he would help, but he actually didn't.",彼は助けると言ったが、実際は助けなかった。,,0,0
compose,"を構成する,作曲する",動詞,He composed a beautiful symphony.,彼は美しい交響曲を作曲した。,The committee is composed of ten members.,委員会は10人のメンバーで構成されている。,She tried to compose herself before the interview.,彼女は面接の前に落ち着こうとした。,Water is composed of hydrogen and oxygen.,水は水素と酸素で構成されている。,,0,0
greet,"を出迎える,に挨拶する",動詞,She greeted me with a smile.,彼女は笑顔で私を迎えた。,The president was greeted by a large crowd.,大統領は多くの群衆に迎えられた。,He greeted his friends warmly.,彼は友人を温かく迎えた。,The morning sun greeted us.,朝日は私たちを迎えた。,,0,0
depend on,"に頼る,依存する",熟語,You can always depend on me.,あなたはいつも私に頼ることができる。,The success of the project depends on teamwork.,プロジェクトの成功はチームワークにかかっている。,Don't depend on others for your happiness.,自分の幸せを他人に依存するな。,It depends on the weather.,それは天気次第だ。,,0,0
claim to do,することを主張する,熟語,He claims to know the truth.,彼は真実を知っていると主張している。,She claims to be a descendant of royalty.,彼女は王族の子孫であると主張している。,The company claims to have the best product on the market.,その会社は市場で最高品質の製品を持っていると主張している。,He claims to have seen a UFO.,彼はUFOを見たと主張している。,,0,0
agree with,"に賛成である,支持する",熟語,I agree with your opinion.,私はあなたの意見に賛成です。,She doesn't agree with the new policy.,彼女は新しい方針に賛成していない。,We all agree with his decision.,私たちは皆、彼の決定に賛成している。,Do you agree with me?,あなたは私に賛成ですか？,,0,0
it is common to hear,"を聞くのが一般的です,よく聞かれる",熟語,"In this town, it is common to hear the sound of the ocean.",この町では、海の音を聞くのが一般的です。,It is common to hear people complaining about the weather.,天気に文句を言うのをよく聞きます。,It is common to hear that breakfast is the most important meal of the day.,朝食が一日で最も重要な食事であるとよく聞かれます。,It is common to hear birds singing in the morning.,朝に鳥がさえずるのを聞くのは一般的です。,,0,0
